employee_id,first_name,last_name,gender,department,hire_date,birth_date,salary,email,phone,employment_status
32,Moise,Scalera,Male,Kitchen,3/1/2019,6/29/1988,43046,mscalerav@baidu.com,255-344-8051,On Leave
33,Killian,Morewood,Male,Front Office,3/16/2016,1/10/1981,24219,kmorewoodw@github.com,170-827-2290,Active
34,Trish,Sango,Female,Kitchen,5/24/2020,11/9/1998,45198,tsangox@irs.gov,489-456-7600,Active
35,Ellsworth,Chalfant,Male,Maintenance,8/30/2017,6/4/2007,15774,echalfanty@blogspot.com,868-703-1307,On Leave
36,Caz,Libermore,Male,,7/14/2025,11/4/1977,40134,clibermorez@economist.com,202-932-0238,On Leave
37,Toby,McKirton,Male,HR,3/9/2021,1/18/1971,27083,tmckirton10@geocities.com,153-552-7819,Active
38,Keri,Drissell,Female,Housekeeping,10/26/2018,9/22/1994,49118,kdrissell11@businesswire.com,162-214-1802,On Leave
39,Bent,Silverstone,Male,Front Office,6/27/2017,7/26/1992,43237,bsilverstone12@nature.com,894-808-1919,On Leave
40,Sayer,Goly,Male,Maintenance,9/26/2023,6/18/2020,16909,sgoly13@ted.com,314-338-8474,Terminated
41,Anna,Michele,Female,Maintenance,4/28/2020,12/18/1979,16597,amichele14@cbsnews.com,320-452-6025,Active
42,Zarah,Airy,Female,Kitchen,11/28/2017,3/6/2014,29766,zairy15@disqus.com,827-456-5255,Active
43,Freemon,Josef,Male,Kitchen,7/30/2022,9/13/2017,13650,fjosef16@house.gov,437-958-1768,Active
44,Aurie,Earlam,Female,Maintenance,6/26/2019,10/23/2013,26309,aearlam17@utexas.edu,595-350-2697,On Leave
45,Lynn,Hacaud,Male,Housekeeping,3/12/2019,12/15/1990,45011,lhacaud18@de.vu,783-680-6433,Terminated
46,Sari,Strangward,Female,Security,10/8/2017,1/26/2020,37516,sstrangward19@unicef.org,421-735-4145,Terminated
47,Fitz,Ferdinand,Male,Kitchen,8/17/2018,7/5/1982,43687,fferdinand1a@cam.ac.uk,450-812-1460,On Leave
48,Sam,Dickey,Male,Maintenance,7/22/2018,7/31/2021,25511,,427-611-9752,On Leave
49,Salomon,Giovanitti,Male,Kitchen,4/18/2024,8/16/1984,20248,,,Terminated
50,Dulcea,Hurdwell,Female,HR,11/21/2018,6/2/1976,35163,dhurdwell1d@dell.com,663-219-6095,On Leave
51,Noel,Bredgeland,Female,Front Office,7/18/2019,4/18/1982,28918,,434-612-7935,Active
52,Sullivan,De Paepe,Male,Security,10/21/2023,4/4/1982,30042,sdepaepe1f@networkadvertising.org,842-570-4631,Active
53,Cathyleen,Northway,Female,Housekeeping,8/6/2019,1/13/1981,15347,cnorthway1g@skype.com,384-621-4827,On Leave
54,Cordy,McCambrois,Male,,11/4/2024,6/16/1994,25078,cmccambrois1h@1und1.de,820-128-7310,On Leave
55,Denna,Errichiello,Female,Front Office,12/2/2017,2/15/2015,27471,derrichiello1i@google.it,649-861-1911,On Leave
56,Walker,Doddemeede,Male,HR,3/25/2021,8/20/2016,27348,wdoddemeede1j@homestead.com,342-889-2213,Terminated
57,Cordie,Walisiak,Male,Finance,11/1/2019,10/1/2005,23769,cwalisiak1k@abc.net.au,890-174-9562,Terminated
58,Kearney,Edwin,Male,Maintenance,7/8/2016,2/23/2002,30260,kedwin1l@unc.edu,458-286-3313,On Leave
59,Westbrook,Lightoller,Male,Front Office,3/10/2023,11/28/1988,38954,wlightoller1m@stanford.edu,165-902-5853,Active
60,Camilla,Ridel,Female,HR,8/22/2017,11/11/1971,47227,cridel1n@cnbc.com,136-336-1705,Terminated
61,Sophi,Passler,Female,Finance,10/21/2023,2/27/2008,22574,spassler1o@washingtonpost.com,603-867-9925,Active
62,Gardner,Trenholm,Male,HR,7/18/2019,6/29/2021,37330,gtrenholm1p@auda.org.au,386-842-2417,On Leave
63,Gigi,Mockford,Female,,6/5/2019,10/7/2007,27218,gmockford1q@woothemes.com,899-108-1223,Terminated
64,Desirae,Niaves,Female,Maintenance,11/23/2022,4/4/1997,28343,dniaves1r@dion.ne.jp,272-748-6162,On Leave
65,Joel,Kemball,Male,Kitchen,1/12/2022,2/1/1998,10097,jkemball1s@wordpress.org,662-610-5897,Active
66,Blancha,Dicken,Female,Kitchen,10/4/2023,8/3/2014,18909,bdicken1t@xrea.com,180-350-1084,On Leave
67,Suzi,Danielsohn,Female,HR,1/16/2021,6/24/2024,49248,,785-355-4765,Active
68,Skipton,Fourcade,Male,Maintenance,5/28/2025,5/16/1983,49921,sfourcade1v@squidoo.com,494-979-5643,On Leave
69,Glenine,Cejka,Female,Housekeeping,3/16/2024,6/18/1983,12393,gcejka1w@google.pl,657-147-7764,Terminated
70,Webster,Forster,Male,HR,4/10/2025,1/17/1991,38639,wforster1x@simplemachines.org,973-566-4549,On Leave
71,Vivie,Castiglioni,Female,Kitchen,3/10/2021,11/18/2019,12368,vcastiglioni1y@ucsd.edu,388-492-1072,On Leave
72,Gian,Lorraway,Male,Housekeeping,12/15/2016,8/29/1974,44725,glorraway1z@nature.com,407-582-2621,Active
73,Aubert,Bassam,Male,Housekeeping,11/12/2016,6/27/2020,40574,abassam20@xing.com,140-774-0339,Terminated
74,Tessa,Busain,Female,Maintenance,2/15/2016,11/13/2000,43616,tbusain21@tripadvisor.com,513-383-1556,Terminated
75,Phyllida,Camelin,Female,Security,1/5/2019,9/26/2020,42958,pcamelin22@nba.com,876-345-0068,On Leave
76,Theodoric,Canfield,Male,,4/26/2025,6/28/2023,16392,tcanfield23@netlog.com,309-265-1718,Active
77,Angelique,Kernan,Female,Finance,11/8/2022,8/10/1986,26020,akernan24@businesswire.com,512-563-1559,Active
78,Verne,Wegner,Male,Security,10/20/2024,12/13/2006,20682,vwegner25@pinterest.com,440-312-1200,Terminated
79,Odella,Doulton,Female,Housekeeping,6/23/2020,4/3/2015,21062,odoulton26@admin.ch,636-397-5614,Terminated
80,Dannye,Maine,Female,Kitchen,12/16/2017,11/2/1992,17503,dmaine27@bravesites.com,732-272-5987,On Leave
81,Lanni,Strete,Female,Front Office,12/26/2018,5/27/1981,24353,lstrete28@chron.com,630-162-9273,Terminated
82,Jorie,Pedrielli,Female,Maintenance,6/15/2023,6/12/1971,10996,jpedrielli29@prweb.com,296-550-8637,Terminated
83,Modesta,Pettipher,Female,Housekeeping,5/10/2017,4/27/1999,28769,mpettipher2a@wsj.com,144-115-6946,Active
84,Arluene,Pinard,Female,HR,7/2/2023,1/15/2016,18858,apinard2b@pbs.org,518-807-9932,Terminated
85,Leonora,Keoghane,Female,Finance,3/27/2022,7/12/2024,47644,lkeoghane2c@arizona.edu,320-148-0097,Terminated
86,Noelani,Tincey,Female,Security,11/20/2020,5/6/1998,23851,ntincey2d@google.it,223-258-7151,Active
87,Leilah,Burchell,Female,HR,7/31/2017,2/27/2009,48621,lburchell2e@yahoo.com,508-242-3633,Terminated
88,Dyann,Meers,Female,Finance,8/22/2021,7/13/2016,14717,dmeers2f@google.it,144-866-2291,Active
89,Tuesday,Brymham,Female,Kitchen,9/22/2015,12/3/1994,10206,tbrymham2g@list-manage.com,571-527-0040,Terminated
90,Brnaby,Somerbell,Male,Front Office,11/1/2016,1/20/2010,41575,bsomerbell2h@twitpic.com,920-861-5193,Active
91,Francesca,Bachellier,Female,Housekeeping,7/5/2023,4/27/1991,34451,fbachellier2i@home.pl,455-141-4593,Active
92,Yance,Panner,Male,Housekeeping,6/24/2021,2/17/2016,42265,,113-270-2316,Terminated
93,Hayward,Petrolli,Male,Maintenance,9/17/2023,3/31/2006,38047,,234-836-8150,On Leave
94,Florie,Doiley,Female,Kitchen,3/31/2020,10/17/1970,28737,,652-638-3367,Terminated
95,Pace,Aiston,Male,Front Office,3/5/2018,5/27/2024,18007,paiston2m@usda.gov,237-599-9912,On Leave
96,Rock,Sibille,Male,Housekeeping,5/28/2017,9/26/1970,45383,rsibille2n@sakura.ne.jp,140-302-5687,Active
97,Davon,McClure,Male,Security,6/24/2019,11/4/1981,25249,dmcclure2o@netlog.com,537-285-1649,Active
98,Vinni,Jiroudek,Female,HR,12/25/2015,7/12/1982,42053,,517-261-5371,Terminated
99,Bary,Olensby,Male,Front Office,1/15/2024,11/11/2021,19499,bolensby2q@nps.gov,567-687-7042,On Leave
100,D'arcy,Frostdick,Male,Security,3/7/2018,10/4/1971,10231,dfrostdick2r@vistaprint.com,599-174-3210,Terminated
101,Dannye,Yokelman,Female,Finance,6/21/2020,3/23/2011,27394,dyokelman2s@yellowpages.com,588-908-5969,Active
102,Arielle,Oliver-Paull,Female,Front Office,9/1/2017,9/19/1993,26617,aoliverpaull2t@ameblo.jp,404-414-3901,Terminated
103,Bruno,Wheelton,Male,Finance,1/24/2020,11/10/2012,14997,bwheelton2u@unesco.org,979-457-4081,Terminated
104,Marylynne,Leblanc,Female,Front Office,7/31/2021,1/18/1991,38375,mleblanc2v@google.de,318-878-1014,Terminated
105,Otho,MacFadden,Male,,3/25/2025,2/8/2012,15068,omacfadden2w@qq.com,923-422-8342,On Leave
106,Maressa,De'Ath,Female,Front Office,4/4/2017,4/12/1972,37283,mdeath2x@csmonitor.com,691-728-9888,Active
107,Carlo,Larham,Male,Front Office,8/6/2016,8/6/1989,39819,clarham2y@google.com.hk,231-812-6520,Active
108,Venita,Dorin,Female,Kitchen,8/23/2017,7/19/2001,27541,vdorin2z@reddit.com,801-116-9947,Active
109,Bradley,Fordham,Male,Security,4/18/2025,2/20/1995,42474,bfordham30@etsy.com,872-348-2401,Active
110,Leela,Juarez,Female,Maintenance,7/22/2018,1/10/2010,27794,ljuarez31@dion.ne.jp,852-816-0897,Active
111,Mendie,Ivermee,Male,Security,5/27/2017,9/22/2021,39712,mivermee32@washingtonpost.com,540-179-1118,Active
112,Delphinia,Bloodworthe,Female,Kitchen,4/22/2023,3/13/2003,23595,dbloodworthe33@t-online.de,,Terminated
113,Fawn,Goldster,Female,Front Office,2/15/2022,9/6/1991,46749,fgoldster34@acquirethisname.com,932-123-9915,On Leave
114,Dwain,Bescoby,Male,Kitchen,2/26/2019,1/16/1977,31166,dbescoby35@gmpg.org,290-268-3456,Terminated
115,Vivie,Peris,Female,Housekeeping,12/27/2023,1/4/2016,49795,vperis36@123-reg.co.uk,,On Leave
116,Tabbitha,Ethelston,Female,Kitchen,6/10/2016,9/30/2016,17073,tethelston37@home.pl,699-346-7917,Active
117,Peyter,Macro,Male,Kitchen,10/9/2020,2/15/1995,37418,pmacro38@uiuc.edu,512-988-6280,Active
118,Gare,Mccaull,Male,HR,6/3/2017,8/29/2008,30403,gmccaull39@usda.gov,564-202-8498,On Leave
119,Marinna,Vondracek,Female,Maintenance,12/31/2018,4/4/1991,20907,mvondracek3a@biglobe.ne.jp,159-617-9681,Terminated
120,Benji,Hise,Male,Kitchen,11/5/2024,5/12/2001,30240,bhise3b@xinhuanet.com,696-701-8952,Terminated
121,Melba,Geraldez,Female,Security,1/4/2022,1/28/1986,30594,mgeraldez3c@goo.gl,202-238-2907,Terminated
122,Benoit,Calleja,Male,Front Office,4/21/2025,3/12/1998,47363,bcalleja3d@tripod.com,577-409-6844,On Leave
123,Elva,Febre,Female,Finance,5/12/2019,2/7/2015,30092,efebre3e@vk.com,668-434-2990,Terminated
124,Felicle,Hadleigh,Female,,10/4/2020,5/4/1971,28888,fhadleigh3f@amazon.co.uk,225-386-5166,Terminated
125,Emalee,Lamond,Female,Housekeeping,6/21/2023,1/9/1984,10251,elamond3g@npr.org,307-183-0335,Active
126,Heriberto,Elen,Male,Finance,10/11/2022,4/20/1978,40844,helen3h@discovery.com,948-380-6935,Terminated
127,Benetta,Mickleburgh,Female,Kitchen,2/27/2025,3/6/1977,30343,bmickleburgh3i@baidu.com,408-872-0348,On Leave
128,Didi,Tottle,Female,Housekeeping,9/18/2016,9/23/2007,23700,dtottle3j@acquirethisname.com,561-279-0548,Active
129,Julienne,Pierrepoint,Female,Housekeeping,1/22/2024,4/30/1998,16118,jpierrepoint3k@qq.com,459-133-0901,On Leave
130,Meara,Sidden,Female,Front Office,12/14/2023,9/27/2022,26043,msidden3l@indiegogo.com,265-543-5386,On Leave
131,Catlaina,Girton,Female,Security,4/22/2021,12/23/2006,10960,cgirton3m@photobucket.com,633-135-4916,Active
132,Reinaldo,Moxted,Male,Security,4/18/2022,3/31/2022,48305,rmoxted3n@youtube.com,,Active
133,Gustave,Bowmer,Male,Housekeeping,10/29/2017,10/30/2000,32401,gbowmer3o@sun.com,987-724-3583,On Leave
134,Ranice,Halm,Female,Maintenance,11/10/2023,12/6/1974,12048,rhalm3p@sogou.com,594-580-1964,On Leave
135,Cyndia,Abramof,Female,Housekeeping,2/8/2019,2/15/1998,45773,cabramof3q@rambler.ru,394-165-3756,Active
136,Atlanta,Ridsdell,Female,Kitchen,1/30/2020,4/22/2002,20804,aridsdell3r@newsvine.com,422-655-7057,Terminated
137,Tobit,Le Borgne,Male,Front Office,1/30/2022,12/14/1982,47331,tleborgne3s@nydailynews.com,909-564-5292,On Leave
138,Jaynell,Rowston,Female,Maintenance,2/17/2017,5/2/1982,18795,,385-214-9286,Active
139,Danice,Daouse,Female,Kitchen,11/21/2020,5/10/2008,24458,ddaouse3u@github.io,376-313-9752,On Leave
140,Tripp,Aldred,Male,Housekeeping,10/21/2021,10/25/2024,13250,taldred3v@bloglovin.com,933-247-1273,Active
141,Myrah,Sliman,Female,Housekeeping,9/2/2023,12/26/2021,29094,msliman3w@yelp.com,102-322-2124,On Leave
142,Collete,Antonoyev,Female,Kitchen,8/26/2023,4/29/2002,25525,cantonoyev3x@smh.com.au,455-937-0580,Terminated
143,Sansone,Brimner,Male,Front Office,4/17/2018,2/15/2007,10277,sbrimner3y@latimes.com,779-127-2754,Terminated
144,Merrilee,Wilce,Female,Housekeeping,5/28/2018,1/20/2015,30372,mwilce3z@house.gov,609-937-4167,On Leave
145,Paolina,Hegdonne,Female,Front Office,8/2/2018,3/10/1993,23895,phegdonne40@icq.com,224-669-1453,On Leave
146,Nikola,Limpkin,Male,Kitchen,11/21/2017,3/24/1994,21023,nlimpkin41@independent.co.uk,608-667-4146,Active
147,Reed,Athey,Male,,8/19/2015,8/18/2003,10627,rathey42@ycombinator.com,310-221-3397,Terminated
148,Katy,Brayshaw,Female,Finance,3/29/2018,7/13/2018,43856,,362-316-6521,Terminated
149,Chaddy,Roake,Male,Finance,4/20/2020,10/7/1984,21185,croake44@xing.com,412-215-7068,Terminated
150,Brinn,Andrelli,Female,,7/15/2021,1/9/1994,40647,bandrelli45@meetup.com,160-287-1381,Active
151,Ethelind,Westnage,Female,Housekeeping,6/15/2017,4/1/1981,43977,ewestnage46@furl.net,662-998-3789,On Leave
152,Brit,Harbord,Female,Front Office,5/30/2018,4/7/1999,16331,bharbord47@netlog.com,141-511-3844,On Leave
153,Borg,Castana,Male,Maintenance,8/18/2020,10/10/1997,22615,bcastana48@army.mil,787-412-8272,On Leave
154,Gaby,Simes,Male,Finance,5/6/2020,3/19/1985,35134,gsimes49@patch.com,656-776-1124,Active
155,Pierre,Kilbee,Male,Security,1/21/2019,7/3/2007,27183,pkilbee4a@multiply.com,169-383-6304,Active
156,Lydon,Medgewick,Male,Security,9/10/2019,10/13/1984,43305,lmedgewick4b@yahoo.com,281-902-7603,On Leave
157,Hanson,Yesinin,Male,Front Office,3/16/2024,4/17/1998,42368,hyesinin4c@mtv.com,259-732-7150,Active
158,Bat,Boost,Male,Housekeeping,8/1/2015,12/28/1997,26423,bboost4d@buzzfeed.com,647-963-4597,Active
159,Geoffrey,Kick,Male,Housekeeping,2/9/2021,11/2/1974,39296,gkick4e@ted.com,718-805-5949,On Leave
160,Gloriane,Recher,Female,Finance,5/23/2021,6/12/2021,19999,grecher4f@chicagotribune.com,332-311-0144,Active
161,Yalonda,Trineman,Female,Finance,7/21/2015,4/16/1987,24478,ytrineman4g@aboutads.info,989-779-5415,On Leave
162,Veda,Tall,Female,Front Office,5/1/2016,10/5/1978,44733,vtall4h@sun.com,885-121-5521,Active
163,Berny,Etherington,Female,Housekeeping,10/13/2017,6/14/1977,47875,betherington4i@cnn.com,957-649-9173,Terminated
164,Onfroi,Branca,Male,Front Office,8/19/2016,12/8/2012,35654,,912-281-3643,Active
165,Leupold,Hoyle,Male,Kitchen,9/4/2023,2/25/2015,44697,lhoyle4k@github.com,836-352-1115,Active
166,Kakalina,Grzeszczyk,Female,HR,3/20/2024,11/12/1996,25046,kgrzeszczyk4l@about.me,929-725-1271,On Leave
167,Ivor,Gotcher,Male,,10/21/2018,8/28/2024,36789,igotcher4m@reuters.com,495-130-3902,Active
168,Chrissie,Towler,Female,Housekeeping,2/18/2024,4/22/1981,27722,ctowler4n@admin.ch,127-883-1528,Terminated
169,Hedi,Rosbrough,Female,Finance,7/27/2018,4/4/2003,48027,hrosbrough4o@cbsnews.com,514-447-5079,Terminated
170,Ogdan,Habbershon,Male,Kitchen,10/17/2021,8/9/1973,23994,ohabbershon4p@latimes.com,927-648-2792,Terminated
171,Helaine,Kneafsey,Female,,7/14/2016,9/12/1985,16768,hkneafsey4q@altervista.org,681-595-0378,Terminated
172,Eddie,McCready,Male,Maintenance,12/25/2018,7/26/2020,31809,,247-152-2851,Terminated
173,Katuscha,Surtees,Female,Security,1/28/2020,5/2/1991,45463,,807-885-1547,Terminated
174,Morgan,Franckton,Male,Kitchen,6/15/2021,5/10/2008,49517,mfranckton4t@ezinearticles.com,990-239-8541,On Leave
175,Stanfield,Sandercock,Male,Housekeeping,2/17/2019,3/13/1975,45574,ssandercock4u@examiner.com,762-640-7495,Terminated
176,Cyb,Gian,Female,Front Office,12/8/2023,8/24/1993,48427,cgian4v@msn.com,393-616-8701,On Leave
177,Fanchon,Matthias,Female,Housekeeping,1/9/2021,5/21/1982,26752,fmatthias4w@ezinearticles.com,704-428-4601,On Leave
178,Rica,Thaller,Female,HR,10/21/2015,12/22/1991,46370,rthaller4x@forbes.com,248-199-6023,Terminated
179,Tressa,Matelyunas,Female,Front Office,9/19/2023,2/17/1984,28216,tmatelyunas4y@tripod.com,920-235-5175,Active
180,Rozanna,De Malchar,Female,Security,4/30/2023,11/12/1976,23477,rdemalchar4z@infoseek.co.jp,204-934-6645,Terminated
181,Reagan,Canellas,Male,Housekeeping,11/19/2021,4/20/1989,24511,rcanellas50@163.com,785-688-6106,Active
182,Kris,Poulden,Male,Housekeeping,3/15/2021,1/9/1980,15199,kpoulden51@google.co.jp,260-622-9516,On Leave
183,Gare,Phillput,Male,Housekeeping,1/21/2021,10/31/2005,46211,gphillput52@barnesandnoble.com,747-101-5067,On Leave
184,Halette,Maidlow,Female,Front Office,6/2/2022,5/20/1977,19200,hmaidlow53@imdb.com,496-661-1524,Active
185,Marshall,Trundell,Male,Maintenance,7/17/2015,3/27/2021,42439,mtrundell54@amazon.com,499-556-5160,Active
186,Fred,Harnes,Male,Security,2/26/2017,8/7/1990,49477,fharnes55@sogou.com,,Active
187,Christophorus,Pilling,Male,Security,12/9/2018,1/18/1999,32724,,296-163-3146,Active
188,Clary,Sexcey,Female,Kitchen,3/3/2024,1/18/1994,11841,csexcey57@51.la,679-370-4771,Terminated
189,Marietta,Sealy,Female,Front Office,12/3/2015,12/20/1996,34839,msealy58@vkontakte.ru,510-404-5272,Active
190,Nolly,Cheese,Male,Housekeeping,8/22/2017,3/19/1988,28191,ncheese59@blogs.com,856-571-4421,Terminated
191,Byrle,Bester,Male,Maintenance,3/5/2021,12/7/2005,23593,,468-100-9389,On Leave
192,Mae,Shaxby,Female,HR,4/14/2019,7/21/1992,47285,mshaxby5b@sakura.ne.jp,289-302-2504,Active
193,Asa,Scutter,Male,Kitchen,3/18/2022,4/22/2014,44971,ascutter5c@rambler.ru,385-691-0833,On Leave
194,Leora,Clayfield,Female,HR,6/4/2023,10/9/1980,28927,lclayfield5d@auda.org.au,301-969-0626,On Leave
195,Nealson,Hare,Male,HR,10/23/2021,3/20/1991,32198,nhare5e@vistaprint.com,,Active
196,Annamaria,Works,Female,Security,6/5/2023,7/6/2024,30614,,351-246-8363,On Leave
197,Clifford,Easton,Male,Kitchen,7/23/2015,5/8/2021,46260,ceaston5g@wordpress.com,834-298-6438,Active
198,Horatia,Winslow,Female,HR,2/28/2023,7/5/2016,21844,hwinslow5h@sina.com.cn,762-167-8494,On Leave
199,Scottie,Fontelles,Male,Maintenance,3/21/2019,7/22/2003,26968,,112-670-2413,Terminated
200,Ivett,Ierland,Female,Security,8/4/2022,9/28/2023,10389,iierland5j@psu.edu,340-545-9693,Active
201,Saudra,Gercken,Female,Finance,12/17/2022,1/27/2009,43710,sgercken5k@weibo.com,569-779-9760,Terminated
202,Lyndsie,Torel,Female,Maintenance,4/13/2016,1/14/1971,49446,ltorel5l@amazon.co.uk,322-389-6534,Terminated
203,Ellie,Butt Gow,Female,Front Office,4/15/2025,10/5/2009,39605,ebuttgow5m@icq.com,847-668-2364,On Leave
204,Edvard,Pemberton,Male,Maintenance,8/3/2020,3/8/2023,18974,epemberton5n@ning.com,393-285-6384,On Leave
205,Latrena,Scroyton,Female,,5/21/2018,1/5/1997,21272,lscroyton5o@twitpic.com,257-229-7875,On Leave
206,Alyssa,Blacklidge,Female,Security,1/4/2022,1/23/1987,41852,,283-563-6439,On Leave
207,Charmian,Kaveney,Female,,4/25/2017,8/17/2001,39844,ckaveney5q@phpbb.com,677-930-7594,Active
208,Eugene,Monier,Male,Front Office,9/20/2021,1/1/2013,12488,emonier5r@merriam-webster.com,314-531-5039,On Leave
209,Hayes,Douch,Male,,4/2/2025,5/20/2001,17406,,415-841-5486,Terminated
210,Freemon,Lafflina,Male,,3/20/2018,2/9/2002,30765,,228-335-7664,On Leave
211,Mead,Blanch,Female,Finance,2/8/2016,11/23/1974,22364,mblanch5u@symantec.com,571-942-8074,Active
212,Cortney,Tison,Female,Security,5/30/2023,2/27/1986,47161,ctison5v@walmart.com,,On Leave
213,Sax,MacCallester,Male,Kitchen,9/18/2016,3/23/1974,20210,smaccallester5w@reddit.com,214-667-2237,Active
214,Elspeth,Passion,Female,HR,5/22/2024,11/14/1987,17641,epassion5x@vimeo.com,563-369-5279,On Leave
215,Birgit,Alyukin,Female,Front Office,12/22/2018,1/17/2021,39297,balyukin5y@boston.com,994-828-2017,Active
216,Marta,Whytock,Female,Finance,5/3/2022,10/20/1971,10288,mwhytock5z@bluehost.com,,Terminated
217,Wiley,Frearson,Male,Kitchen,9/29/2015,11/22/2004,38063,wfrearson60@homestead.com,140-252-8056,Active
218,Leupold,Vallerine,Male,Front Office,4/28/2022,3/14/2005,37680,lvallerine61@netlog.com,585-581-0821,On Leave
219,Abdul,Ruffler,Male,Housekeeping,2/19/2024,1/10/1978,38751,aruffler62@mapy.cz,684-131-3994,Active
220,Babbette,Carnier,Female,Housekeeping,5/8/2021,7/10/1980,39070,bcarnier63@theatlantic.com,591-850-6629,Terminated
221,Stuart,Crates,Male,Front Office,3/15/2019,9/8/2020,47476,scrates64@ca.gov,439-614-3165,On Leave
222,Fiona,Amner,Female,Housekeeping,12/6/2015,9/15/1995,22211,famner65@tripadvisor.com,905-575-6204,On Leave
223,Patti,Abramin,Female,Security,12/16/2015,3/27/2018,31665,pabramin66@t-online.de,531-218-9947,Active
224,Selina,Ghidotti,Female,HR,9/1/2015,7/10/2005,39852,sghidotti67@geocities.com,474-530-7426,On Leave
225,Theo,Cawthery,Female,Finance,10/26/2023,11/2/2006,10017,tcawthery68@google.com.br,198-249-0607,Active
226,Lincoln,Mablestone,Male,Kitchen,7/3/2018,5/8/2025,12587,lmablestone69@theglobeandmail.com,681-121-0942,Active
227,Jolene,Edland,Female,Housekeeping,4/15/2022,10/26/2004,19279,,766-804-1282,Terminated
228,Estele,Strain,Female,Housekeeping,9/27/2019,9/8/1982,32946,estrain6b@about.me,237-351-0694,Terminated
229,Allie,Meo,Male,Maintenance,2/11/2020,6/2/1973,35119,,438-400-6462,Terminated
230,Nicholle,Peaker,Female,Housekeeping,1/3/2017,12/4/2011,46769,npeaker6d@unblog.fr,452-415-9894,Terminated
